body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.083394,-0.010285,-0.028660
-0.082720,-0.012326,-0.016524
-0.098734,0.028039,-0.079270
-0.110892,0.024624,-0.073101
-0.135208,0.017794,-0.060763
-0.157006,0.018404,-0.071228
-0.167904,0.018708,-0.076461
-0.109515,0.063354,-0.093926
-0.139335,0.044840,-0.080354
-0.198975,0.007813,-0.053210
-0.155226,0.039760,-0.054916
-0.133352,0.055733,-0.055768
-0.199061,0.026648,-0.022101
-0.161397,0.025673,-0.018848
-0.086068,0.023724,-0.012340
-0.147259,0.025923,0.010712
-0.177854,0.027022,0.022237
-0.079948,-0.010480,0.001506
-0.116177,0.009372,0.006763
-0.188636,0.049078,0.017279
-0.158005,-0.007008,0.025839
-0.142689,-0.035051,0.030119
-0.213684,0.018354,-0.030806
-0.208618,-0.000094,-0.005543
-0.198484,-0.036991,0.044982
-0.223609,-0.014860,-0.009613
-0.236171,-0.003794,-0.036911
-0.265993,-0.044813,0.036955
-0.253119,-0.038697,0.015839
-0.227373,-0.026465,-0.026395
-0.252015,-0.046393,0.025122
-0.264336,-0.056356,0.050880
-0.231984,-0.043677,-0.035688
-0.225458,-0.050118,0.005659
-0.212406,-0.063001,0.088354
-0.212542,-0.043795,0.051182
-0.212609,-0.034193,0.032596
-0.193264,-0.071035,0.117111
-0.176206,-0.071376,0.101923
-0.142089,-0.072060,0.071547
-0.127698,-0.049714,0.079523
-0.120502,-0.038540,0.083511
-0.118129,-0.055513,0.134543
-0.095677,-0.050327,0.112918
-0.050771,-0.039953,0.069668
-0.028966,-0.010762,0.123895
-0.018063,0.003834,0.151008
-0.060318,-0.055656,0.061952
-0.041032,-0.043511,0.077808
-0.002461,-0.019221,0.109522
0.004699,-0.050131,0.100968
0.008278,-0.065586,0.096692
-0.090382,-0.039038,0.031248
-0.085929,-0.055756,0.048304
-0.077022,-0.089193,0.082415
-0.118664,-0.058691,0.023707
-0.139485,-0.043440,-0.005647
-0.132474,-0.089911,0.056729
-0.150956,-0.058822,0.020655
-0.187921,0.003355,-0.051493
-0.171325,-0.036023,-0.011792
-0.163028,-0.055713,0.008059
-0.196200,0.026717,-0.012383
-0.193314,0.014137,-0.021694
