joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.188376,-0.018090,0.062271,0.181409,-0.087952,-0.030599,-0.031587,-0.354777,0.158231,0.387638,0.350692,0.161238,-1.223255,-0.286362,-0.385332,0.410513,-0.885035,0.090998,-0.116397,-0.458257,0.536373,1.277510,1.186501,-0.030261,0.143632,0.019598,0.036224,0.000038,-0.484403
0.189552,-0.018928,0.063409,0.180873,-0.089601,-0.027458,-0.034209,-0.361300,0.161307,0.388324,0.353953,0.164171,-1.240904,-0.281852,-0.386962,0.410942,-0.884837,0.090771,-0.117298,-0.454065,0.554099,1.283815,1.203005,-0.023569,0.129689,0.020118,0.037037,-0.002430,-0.471642
0.190784,-0.017995,0.064590,0.181048,-0.090328,-0.024325,-0.034823,-0.366640,0.164817,0.390959,0.356806,0.168109,-1.254903,-0.278746,-0.388077,0.411786,-0.883752,0.091531,-0.119100,-0.447929,0.571329,1.290679,1.207790,-0.014377,0.119426,0.021684,0.037954,-0.002218,-0.455184
0.191808,-0.016861,0.065584,0.181575,-0.090862,-0.020774,-0.034833,-0.372203,0.168615,0.393873,0.359021,0.172590,-1.267052,-0.275971,-0.389619,0.411687,-0.882611,0.092696,-0.120389,-0.440854,0.586884,1.297154,1.208491,-0.006295,0.109289,0.022950,0.038239,-0.002487,-0.442486
0.192417,-0.015324,0.066203,0.182809,-0.091011,-0.016388,-0.033638,-0.378213,0.172991,0.397346,0.359959,0.178155,-1.275499,-0.273857,-0.392016,0.409704,-0.881359,0.094671,-0.120648,-0.431900,0.599087,1.302852,1.201025,-0.000432,0.099402,0.023618,0.037260,-0.003720,-0.437308
0.192668,-0.014025,0.066233,0.183019,-0.091093,-0.012076,-0.033705,-0.383050,0.176723,0.399996,0.361182,0.183370,-1.279796,-0.272139,-0.394015,0.406670,-0.879649,0.097301,-0.121736,-0.421413,0.609680,1.308609,1.183386,0.006387,0.091428,0.025044,0.034860,-0.003759,-0.431012
0.192741,-0.012844,0.065969,0.182718,-0.091142,-0.007799,-0.034403,-0.387299,0.180132,0.402234,0.362549,0.188410,-1.282016,-0.270620,-0.395816,0.403111,-0.877710,0.100259,-0.123237,-0.410159,0.619468,1.314397,1.160660,0.013683,0.084411,0.026849,0.031749,-0.003202,-0.424158
0.194696,-0.009421,0.066686,0.181547,-0.090675,-0.005122,-0.031027,-0.388800,0.184515,0.404095,0.361595,0.194084,-1.276927,-0.270098,-0.400938,0.399725,-0.872458,0.102446,-0.125214,-0.398940,0.631101,1.318661,1.129208,0.019418,0.072892,0.028123,0.030616,0.001003,-0.416778
0.196579,-0.005725,0.066530,0.179657,-0.090891,-0.001145,-0.028190,-0.391472,0.188845,0.404675,0.360591,0.198740,-1.267531,-0.271147,-0.405979,0.393430,-0.867103,0.104807,-0.127008,-0.385636,0.637899,1.323243,1.091441,0.022758,0.068674,0.029608,0.026518,0.004306,-0.413083
0.198320,-0.001484,0.064631,0.176330,-0.092470,0.005432,-0.026429,-0.396486,0.193071,0.402690,0.359491,0.201360,-1.249519,-0.275340,-0.410857,0.381314,-0.861541,0.107516,-0.128438,-0.368163,0.635028,1.328464,1.041042,0.021306,0.079057,0.031517,0.016491,0.005807,-0.416760
0.198106,0.002024,0.063128,0.173143,-0.092242,0.010889,-0.025594,-0.396999,0.196649,0.402608,0.356920,0.202606,-1.226362,-0.281763,-0.416174,0.369716,-0.854205,0.110930,-0.131194,-0.351049,0.630908,1.332805,0.994592,0.017888,0.088549,0.033955,0.010341,0.007054,-0.409587
0.196914,0.005164,0.061824,0.170027,-0.091111,0.015786,-0.025220,-0.395262,0.199904,0.403478,0.353613,0.203164,-1.200633,-0.289303,-0.421711,0.358377,-0.845980,0.114696,-0.134613,-0.334115,0.626164,1.336705,0.950118,0.013487,0.097595,0.036656,0.006129,0.008174,-0.396989
0.200084,0.009932,0.056380,0.166092,-0.091638,0.017222,-0.015166,-0.392351,0.207283,0.397112,0.347531,0.197111,-1.151540,-0.297728,-0.424905,0.342229,-0.836582,0.115831,-0.137972,-0.311242,0.609710,1.341969,0.875839,0.000820,0.121100,0.037857,-0.003999,0.009754,-0.384125
0.202642,0.013445,0.051583,0.161938,-0.092946,0.017997,-0.004729,-0.389400,0.213061,0.390674,0.342937,0.190496,-1.098664,-0.307938,-0.426329,0.326468,-0.826942,0.116754,-0.141906,-0.288520,0.592750,1.346798,0.801893,-0.011619,0.146483,0.038627,-0.015002,0.009193,-0.368096
